# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/chimp_genome/Pan_troglodytes.Pan_tro_3.0.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "chimp4x0516_heart_rna_dupsRemoved.bam" "chimp4x0516_kidney_rna_dupsRemoved.bam" "chimp4x0516_liver_rna_dupsRemoved.bam" "chimp4x0516_lung_rna_dupsRemoved.bam" "chimp4x0519_heart_rna_dupsRemoved.bam" "chimp4x0519_kidney_rna_dupsRemoved.bam" "chimp4x0519_liver_rna_dupsRemoved.bam" "chimp4x0519_lung_rna_dupsRemoved.bam" "chimpYN07-147_heart_rna_dupsRemoved.bam" "chimpYN07-147_kidney_rna_dupsRemoved.bam" "chimpYN07-147_liver_rna_dupsRemoved.bam" "chimpYN07-147_lung_rna_dupsRemoved.bam" "chimpYN07-387_heart_rna_dupsRemoved.bam" "chimpYN07-387_kidney_rna_dupsRemoved.bam" "chimpYN07-387_liver_rna_dupsRemoved.bam" "chimpYN07-387_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	chimp4x0516_heart_rna_dupsRemoved.bam	chimp4x0516_kidney_rna_dupsRemoved.bam	chimp4x0516_liver_rna_dupsRemoved.bam	chimp4x0516_lung_rna_dupsRemoved.bam	chimp4x0519_heart_rna_dupsRemoved.bam	chimp4x0519_kidney_rna_dupsRemoved.bam	chimp4x0519_liver_rna_dupsRemoved.bam	chimp4x0519_lung_rna_dupsRemoved.bam	chimpYN07-147_heart_rna_dupsRemoved.bam	chimpYN07-147_kidney_rna_dupsRemoved.bam	chimpYN07-147_liver_rna_dupsRemoved.bam	chimpYN07-147_lung_rna_dupsRemoved.bam	chimpYN07-387_heart_rna_dupsRemoved.bam	chimpYN07-387_kidney_rna_dupsRemoved.bam	chimpYN07-387_liver_rna_dupsRemoved.bam	chimpYN07-387_lung_rna_dupsRemoved.bam
gene:ENSPTRG00000009367	17	8848363	8857776	+	9414	5	8	4	6	5	10	4	7	3	9	2	11	9	11	3	6
gene:ENSPTRG00000051067	17	8870749	8885376	+	14628	1262	1922	823	1948	1029	1742	953	1268	1162	1390	830	1460	804	1338	925	1404
gene:ENSPTRG00000009365	17	8886417	8907928	-	21512	1562	2347	1019	2092	1629	2476	1523	1988	1782	2114	906	2720	1104	2226	1187	2536
gene:ENSPTRG00000051053	17	8888014	8888222	-	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009364	17	8919382	8922498	-	3117	1013	765	401	364	735	762	413	397	827	618	436	300	721	637	422	395
gene:ENSPTRG00000009363	17	8950770	8983467	-	32698	3170	2540	1916	2601	2467	2619	2348	3069	2005	1858	1352	2851	2032	1798	2059	2639
gene:ENSPTRG00000009361	17	9008193	9055983	+	47791	76	497	41	320	41	695	53	175	30	586	31	232	18	674	26	101
gene:ENSPTRG00000009360	17	9096253	9098633	+	2381	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
gene:ENSPTRG00000048455	17	9100333	9101312	-	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009359	17	9102468	9103287	+	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009358	17	9205308	9212351	+	7044	7	989	2	20	12	1260	0	16	0	866	5	7	5	939	8	16
gene:ENSPTRG00000048497	17	9216677	9219638	+	2962	4	628	1	31	6	849	1	88	2	589	0	38	3	607	8	104
gene:ENSPTRG00000009357	17	9220375	9224753	+	4379	9	540	2	54	7	565	8	132	7	466	3	73	9	434	6	92
gene:ENSPTRG00000009356	17	9226986	9236264	+	9279	30	2523	7	185	49	3080	15	324	5	2381	16	327	24	2292	33	335
gene:ENSPTRG00000009355	17	9238023	9240733	+	2711	5	364	2	97	3	577	7	217	1	423	14	313	10	372	14	251
gene:ENSPTRG00000009354	17	9253465	9256487	+	3023	14	226	26	74	50	598	85	198	32	398	47	286	13	416	41	274
gene:ENSPTRG00000052423	17	9256607	9283130	+	26524	161	4209	131	780	363	3878	376	847	204	3108	248	1461	105	3430	245	1264
gene:ENSPTRG00000009352	17	9286977	9289343	+	2367	59	722	48	242	160	699	88	248	138	661	75	416	48	724	81	366
gene:ENSPTRG00000009351	17	9301125	9302482	+	1358	0	1	0	2	0	2	0	0	0	2	0	0	0	2	0	0
gene:ENSPTRG00000009350	17	9401927	9694339	+	292413	75	472	150	207	115	637	535	325	92	719	660	1010	48	602	322	355
gene:ENSPTRG00000009349	17	9708516	9724494	-	15979	488	931	316	635	386	1035	426	703	458	787	351	685	316	681	448	693
gene:ENSPTRG00000052115	17	9728350	9767344	+	38995	1000	1081	365	904	822	1046	513	912	993	989	418	1007	652	828	433	985
gene:ENSPTRG00000022631	17	9778484	9791304	-	12821	7270	5418	2413	3228	7093	6386	3475	3422	7154	5149	3036	4059	6679	5244	3624	4661
gene:ENSPTRG00000009346	17	9802172	9813802	+	11631	772	555	634	303	703	592	526	489	835	488	501	477	588	490	777	425
gene:ENSPTRG00000009345	17	9862557	9873708	-	11152	1472	2387	1656	2761	1284	2459	1653	2152	1729	2242	2348	2622	947	2118	1988	2569
gene:ENSPTRG00000047216	17	9891189	9891500	+	312	4	253	4	339	9	236	11	171	4	71	6	43	3	77	6	239
gene:ENSPTRG00000009343	17	9895147	9902928	-	7782	853	1740	1507	776	850	2288	1780	577	863	1786	2246	495	674	1694	2488	817
gene:ENSPTRG00000009342	17	9914099	9946971	-	32873	1145	1406	399	1364	886	1098	496	953	921	894	445	1506	683	833	457	1157
gene:ENSPTRG00000009340	17	9994641	9995771	+	1131	0	12	1	17	0	9	1	29	1	7	1	151	2	10	0	69
gene:ENSPTRG00000009339	17	10002222	10005375	+	3154	448	1382	422	449	490	1940	437	479	633	1308	650	586	414	1548	553	566
gene:ENSPTRG00000009338	17	10005739	10011514	-	5776	7	44	4	308	14	65	19	127	12	71	30	164	7	79	23	60
gene:ENSPTRG00000009337	17	10011548	10019664	+	8117	1064	1032	360	719	802	961	417	557	974	850	392	614	760	725	409	722
gene:ENSPTRG00000009336	17	10021280	10035777	+	14498	378	684	77	1093	505	660	163	743	592	622	105	1006	290	485	125	891
gene:ENSPTRG00000009335	17	10096808	10109806	-	12999	33	63	34	144	48	61	89	370	36	136	77	729	10	64	64	187
gene:ENSPTRG00000009334	17	10130904	10148203	-	17300	727	551	72	772	611	910	181	1081	808	884	203	989	499	1033	158	1112
gene:ENSPTRG00000009333	17	10159855	10192755	-	32901	2887	3725	2175	3785	2043	2659	1917	2041	2322	2420	1512	2970	2006	2334	2281	2854
gene:ENSPTRG00000009330	17	10221008	10267100	-	46093	1425	2088	1107	1906	1316	1894	1168	1209	1475	1721	807	1958	1134	1720	1148	1672
gene:ENSPTRG00000048037	17	10343623	10344833	-	1211	51	35	123	57	48	48	91	38	35	33	55	55	31	31	128	66
gene:ENSPTRG00000045761	17	10371271	10380510	-	9240	2	21	5	6	7	48	17	8	6	44	3	18	16	37	11	25
gene:ENSPTRG00000009329	17	10404623	10467738	-	63116	196	2124	111	278	521	2206	478	260	500	2647	459	1110	259	2645	431	367
gene:ENSPTRG00000024314	17	10494276	10508940	-	14665	2574	20	9	14	864	58	68	67	448	36	32	54	727	27	13	46
gene:ENSPTRG00000009326	17	10528721	10600570	+	71850	2297	1605	1084	1795	1410	1294	1233	1419	1926	1359	824	2013	1493	1183	1111	1559
gene:ENSPTRG00000051416	17	10671221	10708106	-	36886	566	849	152	585	571	799	300	515	764	916	252	780	524	584	231	625
gene:ENSPTRG00000052446	17	10741493	10741855	+	363	0	1	0	0	0	0	0	6	0	0	0	3	1	0	0	3
gene:ENSPTRG00000009323	17	10753805	10797457	-	43653	751	1194	475	830	624	1217	534	817	667	1359	589	876	383	1074	680	945
gene:ENSPTRG00000009322	17	10834006	10868912	-	34907	25	323	10	23	38	156	17	15	14	298	12	24	12	243	9	26
gene:ENSPTRG00000009321	17	10901848	10958115	+	56268	26	101	131	74	15	243	87	26	31	273	44	30	15	365	67	34
gene:ENSPTRG00000009320	17	10963146	11129674	-	166529	431	887	458	573	548	961	548	643	555	1009	414	932	375	780	544	974
gene:ENSPTRG00000051345	17	10998251	10998836	+	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009319	17	11140374	11206348	+	65975	131	305	87	338	222	422	211	281	272	390	177	380	182	338	155	363
gene:ENSPTRG00000009573	17	11167195	11211767	-	44573	46	163	47	141	49	113	76	45	87	172	46	236	56	128	59	176
gene:ENSPTRG00000050723	17	11266739	11269611	-	2873	11	23	6	9	4	5	3	3	10	12	4	9	10	8	4	11
gene:ENSPTRG00000048511	17	11275899	11276976	+	1078	5	20	4	16	2	3	3	10	1	5	2	7	4	8	1	14
gene:ENSPTRG00000009311	17	11475744	11528382	+	52639	6	32	0	4	27	12	13	10	16	8	13	5	6	8	3	5
gene:ENSPTRG00000009313	17	11537394	11539448	+	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009314	17	11654540	11716176	+	61637	114	165	8	19	126	282	19	14	122	297	12	20	72	305	7	25
gene:ENSPTRG00000009315	17	11721614	11883897	-	162284	990	1430	507	1503	765	1274	669	1323	929	1015	556	1930	533	1056	767	1401
gene:ENSPTRG00000048632	17	11949387	11950461	-	1075	4	5	5	14	3	1	3	2	2	1	2	5	2	2	1	4
gene:ENSPTRG00000045095	17	11956709	11959582	+	2874	11	21	2	10	3	4	1	0	6	2	0	6	5	4	2	6
gene:ENSPTRG00000009256	17	11993884	12032457	+	38574	79	205	55	191	78	168	83	119	123	185	89	316	64	134	64	190
gene:ENSPTRG00000009307	17	12010255	12037213	-	26959	83	153	43	227	101	219	97	174	125	183	99	187	85	125	67	167
gene:ENSPTRG00000009306	17	12049802	12104200	+	54399	1273	1567	784	3045	1363	1236	1051	1977	1164	994	536	3399	730	986	930	3108
gene:ENSPTRG00000009304	17	12106243	12146207	+	39965	1320	3211	489	2929	1032	2409	589	2622	1310	1912	253	4532	706	2143	562	3687
gene:ENSPTRG00000034405	17	12223689	12277642	+	53954	1421	1479	409	1670	1184	1925	1160	1157	1299	968	556	2129	921	1373	859	1539
gene:ENSPTRG00000009301	17	12278568	12286301	+	7734	2	25	1	24	4	22	11	19	8	18	5	51	4	18	4	24
gene:ENSPTRG00000009300	17	12293392	12318770	-	25379	1091	846	282	2172	1004	805	584	2272	807	915	331	5027	333	989	597	3654
gene:ENSPTRG00000045393	17	12299133	12299577	+	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009299	17	12370920	12380931	-	10012	172	467	179	264	145	553	111	200	188	371	441	214	123	412	335	281
gene:ENSPTRG00000049378	17	12390986	12392065	-	1080	417	810	333	802	275	715	265	452	277	354	446	452	253	720	541	708
gene:ENSPTRG00000009297	17	12403660	12411160	-	7501	125	374	628	289	152	763	487	190	199	538	824	288	112	807	1104	333
gene:ENSPTRG00000052044	17	12414466	12435292	+	20827	971	612	79	822	557	397	84	426	777	317	50	655	518	406	78	744
gene:ENSPTRG00000009295	17	12437974	12485882	-	47909	1987	2477	1316	1855	2073	3309	1919	2370	2281	2414	1773	2435	1587	2417	2217	3083
gene:ENSPTRG00000009294	17	12495399	12519075	+	23677	864	1040	322	807	691	1033	408	641	904	865	383	1067	583	795	470	908
gene:ENSPTRG00000009292	17	12573782	12582105	+	8324	3	21	4	1	5	174	28	11	22	107	8	14	2	100	5	2
gene:ENSPTRG00000009290	17	12593329	12616394	+	23066	26	62	13	23	8	17	36	45	22	16	13	30	10	24	15	58
gene:ENSPTRG00000009289	17	12625481	12637692	+	12212	88	58	15	15	108	50	52	13	189	59	9	4	126	96	22	6
gene:ENSPTRG00000009288	17	12635715	12641394	-	5680	4	60	9	110	9	91	12	19	6	91	10	23	2	67	9	30
gene:ENSPTRG00000009287	17	12641482	12690326	+	48845	1588	1987	1178	2050	1239	1639	957	1406	1384	1386	677	1694	961	1283	921	1848
gene:ENSPTRG00000009286	17	12690663	12693742	-	3080	149	35	6	289	107	25	5	534	263	26	6	439	167	22	6	428
gene:ENSPTRG00000046451	17	12756145	12757335	+	1191	144	60	3	242	88	14	1	115	116	57	10	288	112	44	8	259
gene:ENSPTRG00000009284	17	12781173	12803990	-	22818	1710	118	22	221	831	53	16	51	879	51	21	60	958	63	14	81
gene:ENSPTRG00000009283	17	12811050	12854525	-	43476	381	521	113	383	403	519	205	418	507	360	138	462	253	418	191	475
gene:ENSPTRG00000049299	17	12880950	12883617	-	2668	479	618	427	478	455	567	383	396	427	466	273	480	458	501	427	564
gene:ENSPTRG00000009282	17	12902003	12914630	+	12628	623	657	305	589	481	498	263	352	552	513	176	386	450	465	249	420
gene:ENSPTRG00000009281	17	12916280	12935829	-	19550	275	354	124	352	72	97	55	82	83	121	58	90	45	136	61	83
gene:ENSPTRG00000043630	17	12946601	12946780	-	180	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009279	17	13028516	13034534	-	6019	23	76	6	65	50	34	5	30	82	58	3	90	36	106	8	107
gene:ENSPTRG00000009278	17	13083139	13194299	+	111161	3088	3339	1002	2911	1759	2179	1262	1847	2139	2177	883	3264	1603	1938	1388	2480
gene:ENSPTRG00000009277	17	13200068	13222458	+	22391	48	99	12	175	57	81	25	157	61	72	15	970	25	48	20	91
gene:ENSPTRG00000009274	17	13230907	13241573	+	10667	12	67	5	24	31	56	10	59	57	33	6	105	36	40	5	78
gene:ENSPTRG00000009273	17	13241682	13249509	-	7828	1580	2812	1951	3349	2500	2305	2191	3630	1748	1808	1246	3090	1425	1984	2361	4326
gene:ENSPTRG00000009272	17	13270721	13275976	+	5256	821	2160	1341	1377	992	2274	1120	1362	1070	1919	1178	1143	745	1983	1378	1391
gene:ENSPTRG00000009271	17	13276936	13294233	-	17298	8	22	4	34	15	40	3	11	27	55	1	32	12	39	2	23
gene:ENSPTRG00000009270	17	13334372	13354266	+	19895	18	2934	12	38	36	2230	598	23	16	2843	66	25	19	3078	63	24
gene:ENSPTRG00000009269	17	13378227	13395376	+	17150	2116	2680	1287	2470	1912	2651	1252	2451	2257	2286	1271	2722	1468	2540	1599	2686
gene:ENSPTRG00000050154	17	13394718	13395078	+	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000051178	17	13401623	13408565	+	6943	1171	1740	853	1819	1022	1622	807	1357	1101	1329	857	1735	767	1488	1154	2005
gene:ENSPTRG00000009266	17	13408639	13413170	-	4532	888	1369	686	1439	807	1469	838	1126	971	1102	771	1374	639	1186	906	1419
gene:ENSPTRG00000009265	17	13419055	13428082	-	9028	611	159	53	153	404	174	45	53	409	146	54	127	329	140	28	119
gene:ENSPTRG00000044517	17	13421211	13421792	+	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009264	17	13436013	13450824	-	14812	36	71	32	56	50	60	25	50	57	46	41	59	28	41	29	50
gene:ENSPTRG00000009263	17	13489103	13533045	+	43943	2132	1731	831	2538	2330	2702	1170	2529	2408	1695	976	3777	2036	1807	1790	2890
gene:ENSPTRG00000009262	17	13535079	13540686	-	5608	689	976	245	576	493	722	207	556	589	621	201	584	391	563	253	639
gene:ENSPTRG00000009261	17	13544695	13576152	+	31458	873	1129	827	940	658	956	654	792	737	673	557	809	503	753	760	841
gene:ENSPTRG00000009260	17	13595009	13598778	+	3770	470	1315	232	444	363	2006	283	467	471	943	399	463	376	898	363	586
gene:ENSPTRG00000009259	17	13600312	13604967	-	4656	39	890	1877	343	41	1267	226	190	30	322	1306	165	26	579	1529	403
gene:ENSPTRG00000009258	17	13656197	13656942	+	746	0	122	1	6	0	37	2	6	0	52	1	4	0	55	1	1
gene:ENSPTRG00000009257	17	13668078	13668930	+	853	0	4	0	0	2	2	0	3	0	2	0	1	0	1	1	0
gene:ENSPTRG00000009254	17	13700054	13734437	+	34384	424	226	9	113	345	143	22	118	314	127	18	170	239	99	19	108
gene:ENSPTRG00000009253	17	13747928	13763044	-	15117	2105	418	155	1538	987	572	499	2038	1243	639	209	4373	779	441	426	3003
gene:ENSPTRG00000009252	17	13778902	13811607	+	32706	7101	464	44	1928	1041	755	118	1611	989	395	67	1128	980	296	55	1250
gene:ENSPTRG00000039467	17	13834576	13840152	-	5577	4	6	0	8	0	2	0	3	0	1	2	2	0	1	0	0
gene:ENSPTRG00000038773	17	13839441	13851958	+	12518	4095	2736	2285	2398	3358	2922	2442	2229	3702	2345	2246	2110	3346	2319	2491	2545
gene:ENSPTRG00000009249	17	13859589	13864766	+	5178	0	8	0	27	4	430	0	231	5	570	1	1023	7	252	0	22
gene:ENSPTRG00000043480	17	13863562	13863890	+	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009248	17	13956098	13979387	+	23290	195	17	5	54	1261	22	40	75	1330	21	19	43	355	21	14	123
gene:ENSPTRG00000009247	17	14077174	14095727	+	18554	69	147	36	169	74	246	53	202	133	196	36	140	67	258	55	188
gene:ENSPTRG00000009246	17	14096772	14138974	-	42203	1079	1649	890	1482	872	1296	818	1051	1086	1152	519	1697	741	1287	836	1631
gene:ENSPTRG00000048868	17	14146178	14146663	-	486	12	12	8	15	11	19	10	10	11	10	10	9	8	7	15	13
gene:ENSPTRG00000048688	17	14226187	14226792	-	606	75	319	458	99	57	246	289	111	66	98	652	121	57	299	547	130
gene:ENSPTRG00000051425	17	14333752	14341547	+	7796	152	1452	69	185	152	1818	165	147	189	1328	76	479	101	2068	140	334
gene:ENSPTRG00000009242	17	14342927	14351222	-	8296	112	1352	44	151	173	1580	199	246	171	1196	80	481	100	1440	201	361
gene:ENSPTRG00000009241	17	14351305	14407837	-	56533	3695	4432	3352	3365	3097	4312	3185	2607	3505	4056	2565	4134	2903	3524	3388	3524
gene:ENSPTRG00000009236	17	14445006	14526136	+	81131	157	217	141	125	186	200	123	195	310	217	158	363	221	143	122	273
gene:ENSPTRG00000046585	17	14538296	14545118	-	6823	121	250	162	61	44	148	85	64	45	136	220	40	42	85	118	67
gene:ENSPTRG00000009234	17	14548668	14557032	+	8365	1096	2552	1384	2029	1848	2339	1619	2799	1573	1965	1652	2778	1037	1653	1577	3310
gene:ENSPTRG00000009233	17	14557183	14565024	-	7842	437	630	519	594	260	543	384	689	245	470	333	599	172	449	359	724
gene:ENSPTRG00000009232	17	14568536	14573184	-	4649	647	689	505	739	541	665	579	723	556	599	467	670	493	600	518	690
gene:ENSPTRG00000023434	17	14578472	14591700	-	13229	638	809	222	741	477	788	289	437	450	541	131	607	345	634	317	725
gene:ENSPTRG00000009230	17	14592023	14619674	+	27652	1728	1024	492	737	1269	1054	552	848	1496	794	458	917	1051	730	513	819
gene:ENSPTRG00000009229	17	14654241	14666860	-	12620	171	1853	4743	253	221	2584	1365	91	45	1150	3481	36	101	2336	5805	110
gene:ENSPTRG00000040407	17	14691428	14698528	-	7101	182	324	1320	317	225	291	735	423	270	276	1513	704	148	165	1570	432
gene:ENSPTRG00000030952	17	14707619	14714970	-	7352	1199	1596	846	1684	1740	1501	1540	2931	1847	1958	1557	3586	1053	1125	1448	2725
gene:ENSPTRG00000009226	17	14715076	14721909	-	6834	62	100	35	88	48	55	50	70	46	60	39	120	30	93	45	183
gene:ENSPTRG00000009225	17	14721999	14732397	-	10399	827	1150	577	921	609	1062	525	664	699	968	454	750	473	912	624	995
gene:ENSPTRG00000022819	17	14741541	14755730	+	14190	1302	1441	681	1326	893	1010	627	700	929	1160	403	1084	833	1097	583	1066
gene:ENSPTRG00000009223	17	14755226	14767097	-	11872	8	21	6	33	11	45	3	25	16	39	14	19	9	33	5	13
gene:ENSPTRG00000009222	17	14767162	14768249	+	1088	405	790	410	428	408	911	432	519	492	776	519	405	382	736	494	493
gene:ENSPTRG00000009221	17	14768817	14786471	-	17655	51	6361	19	506	98	6997	72	261	85	6821	32	290	41	5696	84	192
gene:ENSPTRG00000009220	17	14786293	14792433	-	6141	246	502	225	430	185	468	227	289	226	376	232	323	140	349	225	372
gene:ENSPTRG00000009219	17	14802823	14805105	-	2283	494	432	290	806	572	453	272	1118	806	599	268	1217	474	435	288	1053
gene:ENSPTRG00000044204	17	14812274	14812566	+	293	43	57	21	83	58	59	43	98	60	57	20	132	29	40	23	92
gene:ENSPTRG00000009217	17	14820811	14865041	+	44231	2463	2795	689	2204	2202	3186	1294	2217	2408	2656	942	3168	1644	2302	1091	2721
gene:ENSPTRG00000009216	17	14865323	14881641	-	16319	825	745	244	1084	935	662	227	827	1549	975	184	1692	653	718	232	1371
gene:ENSPTRG00000009215	17	14882385	14884624	+	2240	73	45	12	60	74	33	19	34	121	60	12	146	77	50	29	97
gene:ENSPTRG00000009214	17	14887119	14896243	+	9125	952	829	631	1137	604	661	208	1239	795	657	585	1213	640	992	758	1511
gene:ENSPTRG00000009213	17	14897154	14904915	-	7762	1308	1906	705	1385	982	1505	735	1219	1172	1433	558	1266	853	1666	701	1383
gene:ENSPTRG00000009211	17	14948864	14954651	-	5788	995	1201	615	751	685	814	390	662	793	657	359	515	671	831	408	730
gene:ENSPTRG00000009210	17	14954672	14984291	+	29620	1282	1830	1082	1986	1089	1808	1241	1595	1351	1377	1023	2033	766	1465	1205	2008
gene:ENSPTRG00000009209	17	14985447	14991492	+	6046	810	1065	510	1330	187	373	204	281	214	204	141	253	162	311	170	293
gene:ENSPTRG00000009208	17	14991089	14996767	-	5679	1215	1159	906	1182	923	1047	1029	854	924	816	692	883	852	872	917	1088
gene:ENSPTRG00000009207	17	14997553	15002293	-	4741	823	1706	1329	948	825	1763	1014	1125	874	1288	1285	962	569	1344	1544	1293
gene:ENSPTRG00000009204	17	15008946	15010876	-	1931	33	39	8	44	60	72	24	52	83	46	23	100	57	47	18	83
gene:ENSPTRG00000009203	17	15017436	15026594	-	9159	689	2566	1520	1608	649	1733	1127	833	685	1203	1149	893	320	1166	1281	1168
gene:ENSPTRG00000009202	17	15040310	15104283	-	63974	2302	3936	1338	3149	2223	4041	2640	2642	2256	2556	1246	4207	1278	2938	1899	4055
gene:ENSPTRG00000040069	17	15154015	15175065	+	21051	3576	2334	402	3589	3795	2141	1743	4686	4325	2250	1102	5090	3242	1746	812	5079
gene:ENSPTRG00000009200	17	15189983	15265919	+	75937	4080	4815	5791	5312	3542	3996	5371	4200	3335	3335	3803	5739	2616	3581	5152	5622
gene:ENSPTRG00000009199	17	15268568	15289627	-	21060	653	1372	507	1130	714	911	455	846	554	593	235	1356	369	759	511	1508
gene:ENSPTRG00000009198	17	15346272	15390958	+	44687	1207	1581	635	973	954	1334	945	884	1005	1185	575	2445	792	1288	1020	1603
gene:ENSPTRG00000009197	17	15399258	15403754	+	4497	175	830	381	281	220	837	281	334	229	482	339	400	130	613	431	452
gene:ENSPTRG00000009196	17	15406781	15408788	+	2008	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0
gene:ENSPTRG00000009195	17	15411417	15433574	+	22158	10	13	3	16	17	7	6	9	9	10	10	15	8	12	8	21
gene:ENSPTRG00000009194	17	15437899	15467789	+	29891	1257	2273	1438	2042	1290	2314	1404	1900	1143	2030	1135	2085	787	1945	1500	2107
gene:ENSPTRG00000030948	17	15469409	15469888	-	480	5	6	4	10	1	7	7	1	1	3	18	3	1	8	8	6
gene:ENSPTRG00000009192	17	15471343	15479622	+	8280	1047	1602	813	1325	1676	2806	1645	2005	1870	2144	1741	1861	1083	2207	1884	1982
gene:ENSPTRG00000009191	17	15479719	15491337	+	11619	801	1204	1108	1457	652	1101	880	1232	668	955	776	1326	332	898	789	1251
gene:ENSPTRG00000009190	17	15529663	15565862	+	36200	46	117	15	106	72	252	38	141	94	183	37	179	59	164	27	106
gene:ENSPTRG00000046977	17	15548520	15553398	+	4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009189	17	15567982	15572771	-	4790	834	654	368	511	591	575	314	347	662	428	216	546	560	470	309	540
gene:ENSPTRG00000009188	17	15575067	15616137	+	41071	1467	1334	717	1051	1234	1672	998	1277	1349	1430	744	1664	1225	1390	1015	1353
gene:ENSPTRG00000009187	17	15614822	15625884	-	11063	1425	2883	1009	1490	816	1921	693	993	958	1616	647	992	739	1699	914	1435
gene:ENSPTRG00000030946	17	15627095	15665895	-	38801	114	518	45	532	57	424	61	146	71	232	33	178	51	314	42	138
gene:ENSPTRG00000023148	17	15677580	15739165	+	61586	907	2921	777	1796	1041	2268	1083	1262	1279	2714	542	2315	811	2569	900	2525
gene:ENSPTRG00000009183	17	15741216	15752951	+	11736	213	129	53	65	53	55	33	35	113	59	21	59	84	76	57	63
gene:ENSPTRG00000009182	17	15758340	15770499	-	12160	17	19	11	20	10	17	6	16	8	10	4	16	6	11	11	16
gene:ENSPTRG00000009181	17	15770419	15781463	+	11045	501	911	273	700	357	762	282	536	430	568	249	514	259	636	266	530
gene:ENSPTRG00000009180	17	15783452	15793939	-	10488	368	557	77	322	732	403	345	924	1207	596	183	952	366	378	124	633
gene:ENSPTRG00000009179	17	15793943	15804721	+	10779	270	570	49	258	308	502	100	339	543	476	86	475	198	449	99	393
gene:ENSPTRG00000009178	17	15833063	15852040	+	18978	3455	4244	861	2965	2307	3951	1072	2110	2394	2802	1120	3517	2350	3373	1415	3340
gene:ENSPTRG00000009177	17	15871354	15883891	+	12538	6	136	35	96	24	73	57	85	14	148	58	238	16	81	101	241
gene:ENSPTRG00000009176	17	15890581	15896167	-	5587	2	4	2	5	2	0	0	3	0	3	0	1	1	4	0	4
gene:ENSPTRG00000009175	17	15915274	15918130	-	2857	1624	1606	1149	2476	1274	1665	1306	1808	1378	1283	1129	1804	1569	1385	1377	1781
gene:ENSPTRG00000047091	17	15915434	15915736	+	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000009173	17	16002142	16007280	+	5139	0	2	1	185	1	21	5	110	2	17	2	94	0	32	10	38
gene:ENSPTRG00000009171	17	16014171	16020634	+	6464	1	1	2	7	1	6	2	4	2	1	5	4	2	8	6	9
gene:ENSPTRG00000009172	17	16039964	16044589	+	4626	0	1	1	11	5	4	4	2	4	3	6	4	1	2	0	16
gene:ENSPTRG00000009169	17	16054806	16061017	+	6212	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	20
gene:ENSPTRG00000009168	17	16098274	16103099	+	4826	114	1536	126	2268	92	2023	389	1569	289	868	112	1326	33	1186	97	1854
gene:ENSPTRG00000009167	17	16103935	16112957	+	9023	2	57	6	703	2	22	9	53	16	12	7	174	1	17	5	190
gene:ENSPTRG00000009166	17	16120956	16125767	+	4812	0	0	1	20	0	1	1	6	1	0	1	2	0	14	0	4
gene:ENSPTRG00000009165	17	16134507	16140706	+	6200	0	0	7	1	2	0	41	2	2	1	2	2	0	0	27	5
gene:ENSPTRG00000023885	17	16145732	16150077	+	4346	0	1	0	1	0	1	0	1	2	5	2	2	0	1	2	3
gene:ENSPTRG00000009164	17	16159326	16167203	+	7878	5	1	1	6	3	1	0	8	4	2	0	12	1	4	2	3
gene:ENSPTRG00000009163	17	16183993	16190381	+	6389	1	0	1	0	1	0	1	0	1	0	1	3	0	0	2	0
gene:ENSPTRG00000009162	17	16201538	16205939	+	4402	1	0	3	2	1	0	3	4	1	4	4	5	1	2	7	7
gene:ENSPTRG00000032515	17	16215003	16220540	+	5538	0	0	0	0	2	2	1	0	6	0	2	1	2	1	3	2
gene:ENSPTRG00000009161	17	16225888	16233124	+	7237	3	1	2	2	3	1	3	7	6	4	2	2	1	3	5	3
gene:ENSPTRG00000045350	17	16242937	16249206	+	6270	2	2	1	1	0	1	1	2	1	2	2	3	1	1	2	2
