# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ooceraea_biroi_genome/GCF_003672135.1_Obir_v5.4_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR2969431_dupsRemoved.bam" "SRR2969433_dupsRemoved.bam" "SRR2969435_dupsRemoved.bam" "SRR2969436_dupsRemoved.bam" "SRR2969437_dupsRemoved.bam" "SRR2969438_dupsRemoved.bam" "SRR2969440_dupsRemoved.bam" "SRR2969447_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2969431_dupsRemoved.bam	SRR2969433_dupsRemoved.bam	SRR2969435_dupsRemoved.bam	SRR2969436_dupsRemoved.bam	SRR2969437_dupsRemoved.bam	SRR2969438_dupsRemoved.bam	SRR2969440_dupsRemoved.bam	SRR2969447_dupsRemoved.bam
gene-LOC105282071	NC_039512.1	6019873	6101419	+	81547	4067	3521	2969	3363	3619	2445	5008	2822
gene-LOC105282070	NC_039512.1	6084905	6091060	-	6156	0	0	0	0	0	0	0	0
gene-LOC105282077	NC_039512.1	6102393	6119107	-	16715	768	905	704	775	560	638	607	743
gene-LOC105282076	NC_039512.1	6119187	6121307	+	2121	715	1245	399	684	368	821	540	1446
gene-LOC105282075	NC_039512.1	6120977	6125720	-	4744	2005	2832	1420	1653	1360	2024	1882	2861
gene-LOC105282078	NC_039512.1	6125687	6129509	+	3823	103	141	99	136	73	131	75	104
gene-LOC105282079	NC_039512.1	6131763	6160978	+	29216	809	1600	763	903	560	968	684	1462
gene-LOC105282080	NC_039512.1	6286113	6289987	+	3875	8	49	8	7	18	3	23	15
gene-LOC105282081	NC_039512.1	6524973	6528642	+	3670	3203	2710	1773	1912	1826	1893	3555	2934
gene-LOC105282083	NC_039512.1	6528634	6530861	-	2228	2711	2557	1716	2025	2193	2376	3235	2776
gene-LOC105282082	NC_039512.1	6530902	6533020	+	2119	2349	2169	1325	1300	1462	1521	2438	2388
gene-LOC105282085	NC_039512.1	6533466	6556228	+	22763	2019	1392	1379	1361	1702	1075	2650	1439
gene-LOC105282084	NC_039512.1	6535140	6539311	-	4172	0	0	0	0	0	0	0	0
gene-LOC105282087	NC_039512.1	6565361	6651570	+	86210	910	1163	571	669	524	626	794	1148
gene-LOC105282086	NC_039512.1	6603921	6606350	+	2430	0	0	0	0	0	0	0	0
gene-LOC105282088	NC_039512.1	6654610	6669252	+	14643	577	502	387	497	358	294	734	382
gene-LOC105282091	NC_039512.1	6737170	6744286	+	7117	617	654	424	331	486	383	705	568
gene-LOC105282090	NC_039512.1	6744295	6749260	-	4966	3027	3059	1478	1485	1471	1715	2864	2688
gene-LOC105282092	NC_039512.1	6750044	6753869	+	3826	7600	7790	5228	4705	5812	5591	9008	7617
gene-LOC105282093	NC_039512.1	6755274	6764470	+	9197	30	49	14	20	27	21	22	28
gene-Trnam-cau-4	NC_039512.1	6762887	6762959	+	73	0	0	0	0	0	0	0	0
gene-LOC105282094	NC_039512.1	6764558	6766454	-	1897	1648	1602	966	790	1100	1074	1707	1607
gene-LOC105282095	NC_039512.1	6772731	6793932	+	21202	3	0	1	3	0	0	2	0
gene-LOC105282096	NC_039512.1	6801709	6803670	+	1962	2	4	3	1	1	2	6	1
gene-LOC105282097	NC_039512.1	6810212	6834440	+	24229	54	24	21	30	22	32	33	46
gene-LOC113562310	NC_039512.1	6834540	6840472	-	5933	14	14	19	20	20	20	21	13
gene-LOC113562309	NC_039512.1	6845585	6847301	+	1717	14	10	4	11	8	13	4	3
gene-LOC113562308	NC_039512.1	6847302	6849977	+	2676	18	10	7	6	19	17	25	16
gene-LOC105282098	NC_039512.1	6849820	6851193	-	1374	2	2	0	3	2	3	3	7
gene-LOC105282100	NC_039512.1	6866154	6945633	-	79480	754	925	614	741	706	543	965	672
gene-LOC113562260	NC_039512.1	6886097	6926029	-	39933	0	0	0	0	0	0	0	0
gene-LOC105282101	NC_039512.1	6972423	6974243	-	1821	77	278	73	40	69	61	77	72
gene-LOC105282102	NC_039512.1	6976424	6978232	-	1809	281	198	268	161	307	122	481	191
gene-LOC105282103	NC_039512.1	6981646	6983544	-	1899	4593	4078	2559	3455	3984	3118	6043	4277
gene-LOC105282104	NC_039512.1	6987127	7007630	+	20504	6705	4695	4631	5270	7572	5345	5447	1725
gene-LOC113562324	NC_039512.1	7009255	7015767	-	6513	7882	6609	8209	6517	11009	6104	9960	5435
gene-LOC105282106	NC_039512.1	7012078	7014617	+	2540	0	0	0	0	0	0	0	0
gene-LOC105282105	NC_039512.1	7015012	7016855	+	1844	1364	707	728	341	890	472	1595	679
gene-LOC113561406	NC_039512.1	7016950	7017719	+	770	3	3	0	3	3	2	0	2
gene-LOC105282122	NC_039512.1	7017963	7018939	+	977	1	1	0	1	3	6	0	1
gene-LOC105282107	NC_039512.1	7019923	7026091	+	6169	5558	4455	2801	2532	3389	3171	6303	5193
gene-LOC105282110	NC_039512.1	7026254	7034001	-	7748	4865	4086	3031	3088	3417	2998	5456	3767
gene-LOC105282113	NC_039512.1	7054820	7083607	+	28788	918	806	741	735	836	646	1109	687
gene-LOC105282112	NC_039512.1	7090915	7113179	-	22265	9730	7312	11659	9682	11151	7751	11851	6553
gene-LOC113562294	NC_039512.1	7114614	7137614	-	23001	1882	1943	1353	1713	1322	1231	1743	1748
gene-LOC105282111	NC_039512.1	7154926	7175624	-	20699	1772	1769	1354	1380	1254	1203	1387	1285
gene-LOC105282115	NC_039512.1	7178787	7269423	+	90637	7201	8628	5616	5242	5644	4845	6419	6357
gene-LOC105279293	NC_039512.1	7279402	7440824	+	161423	6374	6763	4497	4982	4568	4038	6443	5398
gene-LOC105282116	NC_039512.1	7305036	7310337	-	5302	0	0	0	0	0	0	0	0
gene-LOC105279283	NC_039512.1	7313606	7314527	-	922	0	0	0	0	0	0	0	0
gene-LOC105279282	NC_039512.1	7442027	7446727	+	4701	69	55	64	32	39	41	69	38
gene-LOC105279292	NC_039512.1	7447436	7456416	+	8981	709	131	1759	695	216	265	15	5
gene-LOC105279442	NC_039512.1	7457201	7458303	-	1103	4	5	10	5	6	7	6	6
gene-LOC105279280	NC_039512.1	7459760	7461471	+	1712	0	0	1	1	2	1	0	2
gene-LOC105279281	NC_039512.1	7461297	7464763	-	3467	4	2	9	10	1	8	0	0
gene-LOC105279279	NC_039512.1	7465190	7467278	+	2089	0	0	0	3	2	3	0	1
gene-LOC105279274	NC_039512.1	7467852	7497422	+	29571	5292	6677	5336	5892	4759	6321	5206	5815
gene-LOC105279275	NC_039512.1	7497623	7499532	-	1910	2177	2258	1284	1098	1237	1317	2081	2221
gene-LOC105279277	NC_039512.1	7499634	7502092	+	2459	3303	3453	2145	2051	2299	2426	3328	3443
gene-LOC105279278	NC_039512.1	7502057	7504032	-	1976	1157	1057	729	583	836	566	1319	1026
gene-LOC105279273	NC_039512.1	7524106	7524874	-	769	1	3	0	2	0	0	0	1
gene-LOC105279272	NC_039512.1	7535192	7560560	+	25369	217	173	130	147	139	104	260	134
gene-LOC105279271	NC_039512.1	7567654	7668742	-	101089	6046	5527	5244	4468	5487	3941	6479	4804
gene-LOC109610962	NC_039512.1	7571336	7576406	+	5071	0	0	0	0	0	0	0	0
gene-LOC105279269	NC_039512.1	7682340	7692243	-	9904	958	1263	625	714	621	771	973	1196
gene-LOC105279268	NC_039512.1	7694721	7698590	+	3870	11864	10105	6045	6105	6835	5477	13089	10008
gene-LOC105279265	NC_039512.1	7698800	7704392	-	5593	624	516	428	389	402	226	621	450
gene-LOC105279266	NC_039512.1	7704479	7719116	-	14638	7232	6453	5065	5124	4999	4227	8486	5868
gene-LOC105279264	NC_039512.1	7720432	7783839	-	63408	129	161	334	391	626	391	300	228
gene-LOC105279263	NC_039512.1	7766627	7773473	-	6847	0	0	0	0	0	0	0	0
gene-LOC105279261	NC_039512.1	7826008	7830136	-	4129	1506	1341	853	693	1004	900	1460	1261
gene-LOC105279260	NC_039512.1	7830667	7844876	+	14210	2430	2367	3036	3327	3138	2778	3037	2066
gene-LOC105279258	NC_039512.1	7845074	7861286	-	16213	2487	2206	2376	2084	2606	2141	2794	1928
gene-LOC105279259	NC_039512.1	7861395	7864050	+	2656	2459	1849	1701	1118	1932	1311	2817	1794
gene-Trnak-uuu-4	NC_039512.1	7864190	7864262	-	73	3	9	1	0	4	5	10	6
gene-LOC105279257	NC_039512.1	7864599	7867174	-	2576	2936	3066	1660	1620	1821	1891	2844	3111
gene-LOC105279256	NC_039512.1	7868072	7882278	+	14207	6969	6446	6633	5724	7478	5436	8715	4973
gene-LOC105279254	NC_039512.1	7882910	7885195	+	2286	2664	2627	1493	1428	1802	1839	2899	2805
gene-Trnak-uuu-5	NC_039512.1	7885369	7885441	-	73	21	18	6	10	10	11	8	18
gene-LOC105279291	NC_039512.1	7889182	7892112	+	2931	806	1287	598	839	896	1267	1321	1445
gene-LOC105279253	NC_039512.1	7891822	7897317	-	5496	5	2	7	0	5	1	5	0
gene-LOC105279251	NC_039512.1	7897818	7905340	+	7523	4376	3805	2572	2560	2837	2302	4980	3807
gene-LOC105279250	NC_039512.1	7900068	7901111	-	1044	0	0	0	0	0	0	0	0
gene-LOC105279249	NC_039512.1	7905682	7908445	+	2764	253	309	265	353	227	252	168	262
gene-LOC105279248	NC_039512.1	7908833	7912638	-	3806	1554	1383	1150	1430	1192	1253	1605	1359
gene-LOC105279246	NC_039512.1	7913701	7916126	+	2426	6335	7566	3227	3842	3136	4520	5577	8983
gene-LOC105279244	NC_039512.1	7916283	7917642	-	1360	2936	2617	1726	1299	2211	1709	3676	2645
gene-LOC105279245	NC_039512.1	7917741	7929950	+	12210	274	346	249	224	179	225	217	292
gene-LOC105279243	NC_039512.1	7931198	7972620	+	41423	49036	45858	41112	29545	46696	32204	57937	39769
gene-LOC105279290	NC_039512.1	7972808	7979967	+	7160	432	428	303	302	297	405	406	458
gene-LOC105282425	NC_039512.1	7985678	8000353	+	14676	180	195	89	118	101	97	117	144
gene-LOC105282423	NC_039512.1	7988952	7996163	+	7212	0	0	0	0	0	0	0	0
gene-LOC105282426	NC_039512.1	8001882	8007258	+	5377	46	36	55	20	33	25	53	27
gene-LOC105282427	NC_039512.1	8007624	8034723	-	27100	3974	3959	2720	2865	2856	2645	4474	3504
gene-LOC105287489	NC_039512.1	8039145	8066474	-	27330	119	99	69	99	94	53	135	79
gene-LOC105282419	NC_039512.1	8103970	8126375	+	22406	777	609	597	434	783	449	1010	607
gene-LOC105282418	NC_039512.1	8162887	8334283	+	171397	13364	9592	11016	9009	12634	7335	15271	8189
gene-LOC105282416	NC_039512.1	8193689	8200223	-	6535	0	0	0	0	0	0	0	0
gene-LOC105282417	NC_039512.1	8210604	8211762	+	1159	0	0	0	0	0	0	0	0
gene-LOC105282413	NC_039512.1	8337283	8339530	-	2248	20	26	29	31	24	15	19	19
gene-LOC105282411	NC_039512.1	8344803	8452489	-	107687	1132	1353	1004	1069	939	943	1199	1160
gene-LOC105282409	NC_039512.1	8456500	8460606	+	4107	1123	924	597	583	807	599	1220	892
gene-LOC105282410	NC_039512.1	8460324	8463589	-	3266	12728	11182	7590	6521	9510	8940	15408	12172
gene-LOC105282408	NC_039512.1	8464111	8473186	+	9076	3783	3107	2861	3031	2838	2781	4109	2857
gene-LOC105282407	NC_039512.1	8473883	8475092	-	1210	2783	3514	2047	1894	2072	2210	2561	3446
gene-LOC105282405	NC_039512.1	8475263	8476572	+	1310	3675	4361	2129	2037	2132	3403	3483	4417
gene-LOC105282404	NC_039512.1	8476710	8480526	+	3817	1499	1308	935	1023	1259	951	1960	1303
gene-LOC105282403	NC_039512.1	8483684	8630456	-	146773	2850	2403	2546	2538	2413	1680	2402	1494
gene-LOC113562314	NC_039512.1	8662838	8667121	-	4284	4	2	11	10	2	1	3	1
gene-LOC105282431	NC_039512.1	8675739	8679519	-	3781	87	72	41	37	46	38	93	57
gene-LOC105282402	NC_039512.1	8687648	8698213	-	10566	41	24	19	27	30	28	49	46
gene-LOC105282401	NC_039512.1	8707506	8738540	-	31035	15416	14299	12935	9388	13278	8623	19299	12264
gene-LOC105282400	NC_039512.1	8739396	8752126	-	12731	7846	6558	5201	5085	5510	4450	8523	5536
gene-LOC105282399	NC_039512.1	8752268	8754949	+	2682	2189	1983	1322	1165	1359	1302	2312	2137
gene-LOC105282398	NC_039512.1	8755452	8758333	-	2882	25	24	42	36	104	102	79	46
gene-LOC105282397	NC_039512.1	8758534	8762445	-	3912	386	478	292	296	253	296	474	534
gene-LOC105282396	NC_039512.1	8759809	8760976	+	1168	0	0	0	0	0	0	0	0
gene-LOC105282391	NC_039512.1	8762566	8765158	-	2593	40	30	33	33	35	27	28	44
gene-LOC105282430	NC_039512.1	8765364	8770188	+	4825	5033	4659	5201	4936	4855	4612	2889	2224
gene-LOC105282392	NC_039512.1	8770369	8772807	-	2439	1467	1311	672	770	704	856	1416	1295
gene-LOC109611166	NC_039512.1	8772791	8774685	+	1895	182	117	100	73	150	98	188	124
gene-LOC105282395	NC_039512.1	8774652	8796152	-	21501	4148	3603	2700	2852	3186	2597	5814	3503
gene-LOC105282393	NC_039512.1	8781566	8788045	+	6480	0	0	0	0	0	0	0	0
gene-LOC105282394	NC_039512.1	8791208	8794758	+	3551	0	0	0	0	0	0	0	0
gene-LOC105282389	NC_039512.1	8797747	8801417	+	3671	10125	12715	6717	6073	6488	6850	9236	12071
gene-LOC113562339	NC_039512.1	8798045	8798121	+	77	0	0	0	0	0	0	0	0
gene-LOC105282390	NC_039512.1	8801935	8803557	+	1623	2881	3395	1564	2004	1458	2519	2901	3913
gene-LOC105282386	NC_039512.1	8803592	8804481	+	890	1546	1808	867	844	745	1120	1439	1961
gene-LOC105282387	NC_039512.1	8804209	8807542	-	3334	196	251	111	169	125	158	223	232
gene-LOC105282388	NC_039512.1	8807671	8809331	+	1661	3112	3069	1844	1738	2195	2110	3780	3206
gene-LOC105282377	NC_039512.1	8809176	8810990	-	1815	202	227	167	186	137	142	197	166
gene-LOC105282378	NC_039512.1	8811040	8813092	-	2053	1220	1411	848	900	681	1062	1091	1666
gene-LOC105282379	NC_039512.1	8813140	8815363	+	2224	864	664	413	506	477	441	839	543
gene-LOC105282381	NC_039512.1	8815519	8818701	+	3183	865	1029	461	528	460	421	788	740
gene-LOC105282429	NC_039512.1	8818546	8819454	-	909	22	24	11	8	12	9	27	14
gene-LOC105282383	NC_039512.1	8819727	8822413	+	2687	980	932	777	708	819	618	1048	694
gene-LOC105282384	NC_039512.1	8822574	8833076	-	10503	10388	7113	6309	6343	7098	5719	12897	7044
gene-LOC105282385	NC_039512.1	8832680	8837805	+	5126	7101	7088	4074	4324	4578	4758	7554	7419
gene-LOC105282374	NC_039512.1	8837968	8840192	-	2225	3225	2909	2031	1580	2316	2038	3504	3071
gene-LOC105282375	NC_039512.1	8840295	8843869	+	3575	1720	1409	1058	959	1132	1036	1814	1666
gene-LOC105282376	NC_039512.1	8843790	8845816	-	2027	3598	4048	2324	2333	2390	2764	3489	4324
gene-LOC105282371	NC_039512.1	8846758	8848479	+	1722	3391	2872	1314	2166	897	1433	1893	2393
gene-LOC105282368	NC_039512.1	8849135	8852821	-	3687	369	485	726	652	855	955	360	421
gene-LOC105282369	NC_039512.1	8852746	8853139	+	394	3	2	2	1	0	1	2	2
gene-LOC105282370	NC_039512.1	8853074	8854067	-	994	614	620	410	341	434	304	705	680
gene-LOC105282362	NC_039512.1	8855850	8859197	+	3348	6225	5519	3745	3154	4474	3577	7572	5178
gene-LOC105282363	NC_039512.1	8859188	8863244	-	4057	950	807	517	691	495	641	1022	801
gene-LOC105282365	NC_039512.1	8863108	8865905	+	2798	1177	1301	779	908	732	837	1297	1406
gene-LOC105282366	NC_039512.1	8865208	8869030	-	3823	6707	6252	4155	4146	4152	4786	6958	6394
gene-LOC105282367	NC_039512.1	8869214	8871189	+	1976	1589	1567	945	819	1118	996	1648	1708
gene-LOC105282361	NC_039512.1	8871373	8874367	-	2995	10542	10529	6339	5504	7130	6894	10654	10762
gene-LOC105282356	NC_039512.1	8874729	8882472	-	7744	3467	3672	2388	2963	2622	2402	4431	3296
gene-LOC109611165	NC_039512.1	8882414	8883126	+	713	1	0	3	1	1	0	4	0
gene-LOC105282358	NC_039512.1	8883931	8884716	+	786	0	1	0	0	0	0	1	0
gene-LOC105282359	NC_039512.1	8884674	8894187	+	9514	658	656	1649	342	636	403	595	271
gene-LOC105282360	NC_039512.1	8893594	8896206	-	2613	4	4	8	2	5	2	2	0
gene-LOC105282350	NC_039512.1	8896363	8897192	+	830	1597	1613	1008	934	1144	1187	1766	1715
gene-LOC105282351	NC_039512.1	8897647	8910703	-	13057	279	156	115	175	160	111	254	237
gene-LOC105282354	NC_039512.1	8907062	8919375	+	12314	3905	3528	2363	2418	2177	2268	3793	3674
gene-LOC113562296	NC_039512.1	8916161	8918072	-	1912	0	0	0	0	0	0	0	0
gene-LOC105282348	NC_039512.1	8920386	8924056	-	3671	5719	5949	4025	3812	3810	3474	6277	6447
gene-LOC105282349	NC_039512.1	8924225	8928176	-	3952	2007	2073	1920	1890	2029	1831	2203	1938
gene-LOC105282346	NC_039512.1	8929167	8942660	+	13494	10972	9535	8526	7713	8628	6515	12858	7925
gene-LOC105282343	NC_039512.1	8947399	8958261	+	10863	2310	2223	1402	1374	1502	1449	2179	2252
gene-LOC105282344	NC_039512.1	8958260	8975057	-	16798	11799	11726	7618	8719	6782	6297	10149	10879
gene-LOC105282341	NC_039512.1	8976123	9021255	+	45133	14443	11476	9743	9008	9886	6969	14494	9991
gene-LOC105282340	NC_039512.1	8977792	8988573	-	10782	0	0	0	0	0	0	0	0
gene-LOC113562237	NC_039512.1	8985022	8988588	+	3567	0	0	0	0	0	0	0	0
gene-LOC105282339	NC_039512.1	9023654	9024759	-	1106	776	746	290	336	320	342	752	772
gene-LOC105282337	NC_039512.1	9025485	9029630	+	4146	378	482	535	719	528	638	466	442
gene-LOC105278989	NC_039512.1	9035881	9038501	-	2621	957	1199	531	725	473	725	975	1143
gene-LOC105278988	NC_039512.1	9039307	9044193	+	4887	2918	3209	1693	1674	1738	2085	2907	3030
gene-LOC105278987	NC_039512.1	9045618	9050523	-	4906	4926	4162	3473	3068	4233	3389	6512	4124
gene-LOC105278986	NC_039512.1	9051146	9053435	+	2290	3463	2956	2105	1950	2266	2348	4022	3147
gene-LOC105278984	NC_039512.1	9053769	9057068	-	3300	3618	4130	2624	2653	2909	3595	4337	4621
gene-LOC105278981	NC_039512.1	9057517	9060381	+	2865	1789	1893	1187	1206	1246	1526	2162	1927
gene-LOC105278982	NC_039512.1	9060524	9066582	+	6059	793	879	579	621	546	507	750	750
gene-LOC105278983	NC_039512.1	9068191	9073760	-	5570	7427	7783	4994	5171	5036	4955	7357	7225
gene-LOC105278980	NC_039512.1	9079413	9081039	+	1627	652	684	414	337	447	472	886	793
gene-LOC105285477	NC_039512.1	9086368	9145460	+	59093	22	240	26	19	13	14	19	12
gene-LOC105285479	NC_039512.1	9150389	9152945	-	2557	3560	3892	2081	2149	2060	2544	3502	3955
gene-LOC105285478	NC_039512.1	9153139	9157574	+	4436	4809	4443	2390	2803	2533	2546	5251	4396
gene-LOC105285481	NC_039512.1	9159028	9161513	-	2486	833	559	418	387	474	408	841	626
gene-LOC105285480	NC_039512.1	9161645	9162956	-	1312	2760	3107	1702	1631	1574	1839	2779	3276
gene-LOC105285483	NC_039512.1	9164119	9167666	+	3548	4724	4136	2818	2435	3351	2874	5743	4396
gene-LOC105285482	NC_039512.1	9167294	9169254	-	1961	89	72	63	41	101	44	103	60
gene-LOC105280877	NC_039512.1	9181339	9182423	+	1085	6	2	2	3	9	3	4	3
gene-LOC113562262	NC_039512.1	9188858	9189913	+	1056	6	0	0	3	0	4	0	10
gene-LOC113562291	NC_039512.1	9214626	9215707	-	1082	2	2	5	2	2	2	2	4
gene-LOC113562305	NC_039512.1	9222658	9225418	-	2761	5	6	4	8	4	7	8	2
gene-LOC105280882	NC_039512.1	9283291	9283830	-	540	9	18	10	2	17	6	6	7
gene-LOC105280879	NC_039512.1	9303394	9307041	+	3648	10	5	3	4	7	6	2	3
gene-LOC105286053	NC_039512.1	9329007	9332525	+	3519	182	141	55	45	88	91	150	198
gene-LOC105286054	NC_039512.1	9332188	9336436	-	4249	10	5	9	5	10	4	16	10
gene-LOC105279889	NC_039512.1	9448329	9468630	+	20302	35	134	36	46	37	19	23	26
gene-LOC105279890	NC_039512.1	9473295	9687781	-	214487	5059	4683	4026	4231	4115	3065	5455	3661
gene-LOC105279895	NC_039512.1	9692069	9779198	-	87130	3957	3888	3334	3049	3328	2889	3879	3445
gene-LOC105279894	NC_039512.1	9706577	9710285	+	3709	0	0	0	0	0	0	0	0
gene-LOC109610996	NC_039512.1	9710825	9714353	+	3529	0	0	0	0	0	0	0	0
gene-LOC105279933	NC_039512.1	9715942	9719045	+	3104	0	0	0	0	0	0	0	0
gene-LOC105279893	NC_039512.1	9721412	9766506	+	45095	0	0	0	0	0	0	0	0
gene-LOC105279892	NC_039512.1	9774900	9785687	+	10788	321	354	273	259	260	245	360	353
gene-LOC105279891	NC_039512.1	9785810	9787796	+	1987	182	198	189	149	212	138	250	179
gene-LOC105279896	NC_039512.1	9787857	9790967	-	3111	1532	1419	1035	1069	1036	1025	1888	1331
gene-LOC105279897	NC_039512.1	9791153	9794608	+	3456	4380	4133	2702	2319	3020	2739	4923	4336
gene-LOC105279898	NC_039512.1	9795158	9796500	-	1343	1245	1046	673	596	886	728	1543	1176
gene-LOC105279899	NC_039512.1	9796572	9800489	+	3918	947	956	641	647	654	743	1109	965
gene-LOC105279900	NC_039512.1	9800733	9802923	-	2191	1896	2628	1014	1341	449	1017	727	1472
gene-LOC105279902	NC_039512.1	9804588	9811977	+	7390	4533	5210	4253	5097	3733	4540	4768	5057
gene-LOC105279906	NC_039512.1	9813780	9841716	+	27937	3227	3486	2567	2256	2003	1939	2925	2883
gene-LOC105279907	NC_039512.1	9817195	9829735	-	12541	0	0	0	0	0	0	0	0
gene-LOC105279905	NC_039512.1	9842138	9851239	-	9102	18699	19268	10414	10852	11568	11548	19844	18961
gene-LOC105279904	NC_039512.1	9851353	9853859	+	2507	40	63	30	35	14	24	33	61
gene-LOC105279903	NC_039512.1	9855608	9862550	-	6943	3111	2639	1774	2111	1979	1651	3735	2616
gene-LOC105279912	NC_039512.1	9864109	9881965	+	17857	1052	974	786	869	693	642	1139	893
gene-LOC105279909	NC_039512.1	9865237	9867925	-	2689	0	0	0	0	0	0	0	0
gene-LOC105279911	NC_039512.1	9881957	9890546	-	8590	105	143	59	72	52	57	123	92
gene-LOC105279913	NC_039512.1	9896359	9915464	+	19106	29	77	31	30	19	18	37	18
gene-LOC105279914	NC_039512.1	9916588	9919181	+	2594	1886	2309	1193	1101	1208	1381	1985	2368
gene-LOC105288087	NC_039512.1	9922138	9927024	-	4887	921	912	590	590	517	562	833	813
gene-LOC105282889	NC_039512.1	9931370	9939115	+	7746	2269	2002	1286	1404	1294	1222	2160	1970
gene-LOC105282888	NC_039512.1	9943377	9949183	+	5807	785	487	479	402	511	288	692	381
gene-LOC105282885	NC_039512.1	9953221	9955090	+	1870	1078	1051	666	607	581	533	909	914
gene-LOC105282886	NC_039512.1	9955112	9956616	-	1505	1062	1119	599	500	742	653	1153	1239
gene-LOC105282887	NC_039512.1	9957596	9965879	+	8284	1261	1297	683	846	682	693	1071	1132
gene-LOC105282883	NC_039512.1	9967171	9969461	-	2291	1534	1327	718	660	772	788	1693	1154
gene-LOC105282884	NC_039512.1	9969588	9972920	+	3333	223	112	116	103	93	78	212	98
gene-LOC105282891	NC_039512.1	9972564	9978411	+	5848	47	36	25	43	37	34	58	35
gene-LOC105282881	NC_039512.1	9977952	9981406	-	3455	24	15	5	11	16	15	28	17
gene-LOC105282876	NC_039512.1	9981558	9983664	+	2107	15	6	5	6	1	9	20	9
gene-LOC105282877	NC_039512.1	9983123	9991052	-	7930	57	58	53	55	46	45	78	67
gene-LOC105282879	NC_039512.1	9991769	9996674	+	4906	15	10	19	16	37	9	17	13
gene-LOC105282880	NC_039512.1	9996587	9997957	-	1371	265	119	321	245	158	110	199	123
gene-LOC105282875	NC_039512.1	10002574	10028825	-	26252	689	745	562	560	424	465	465	575
gene-LOC105282872	NC_039512.1	10030127	10032205	+	2079	2144	1545	1316	1077	1501	1109	2451	1661
gene-LOC105282873	NC_039512.1	10032320	10041814	+	9495	161	185	145	147	118	85	154	110
gene-LOC105282874	NC_039512.1	10041731	10049863	-	8133	4481	2755	3798	3699	4633	3021	5709	2676
gene-LOC105282871	NC_039512.1	10061504	10084944	+	23441	116	101	71	79	83	61	114	68
gene-LOC105282868	NC_039512.1	10085311	10153833	+	68523	4805	4638	3787	3480	4004	2640	5299	4023
gene-LOC113562337	NC_039512.1	10126538	10126666	+	129	0	0	0	0	0	0	0	0
gene-LOC105282869	NC_039512.1	10153944	10158185	+	4242	356	399	282	273	328	350	306	333
gene-LOC105282867	NC_039512.1	10158432	10164013	-	5582	2573	2675	1746	1722	1623	1885	2467	2526
gene-LOC105282866	NC_039512.1	10164852	10172478	-	7627	2775	2575	1855	1675	2126	1897	3323	2662
gene-LOC105282865	NC_039512.1	10173247	10176750	+	3504	10646	8876	5378	5304	6278	5674	11776	8918
gene-LOC105282862	NC_039512.1	10176989	10181781	+	4793	2466	2104	1640	1585	1871	1660	2807	2044
gene-LOC105282863	NC_039512.1	10181777	10183183	-	1407	729	830	464	470	485	560	927	822
gene-LOC105282861	NC_039512.1	10183332	10186660	-	3329	2758	2307	1697	1487	2257	1997	3361	2517
gene-LOC105282860	NC_039512.1	10188550	10191740	+	3191	1624	1646	1062	1008	1025	1192	1775	1707
gene-LOC105282859	NC_039512.1	10191452	10195114	-	3663	5120	4278	3040	2765	3181	2822	5433	4297
gene-LOC105282858	NC_039512.1	10197125	10201503	+	4379	11246	9635	7481	5967	8038	7223	12916	9605
gene-LOC105282857	NC_039512.1	10202030	10205032	-	3003	2420	2381	1552	1355	1726	1598	2777	2269
gene-LOC105282855	NC_039512.1	10206328	10211205	+	4878	5519	6561	3813	3946	3834	4341	5693	6260
gene-LOC105282856	NC_039512.1	10211228	10215474	-	4247	601	657	410	506	415	519	689	659
gene-LOC105282854	NC_039512.1	10215651	10217475	+	1825	1129	1118	704	614	721	611	1234	1044
gene-LOC105282853	NC_039512.1	10217735	10225284	-	7550	4149	3949	2811	2830	3166	2754	4826	3561
gene-LOC105282852	NC_039512.1	10226150	10237271	+	11122	2469	2109	2185	2293	2260	1837	2873	1926
gene-LOC105282850	NC_039512.1	10240472	10261391	+	20920	10219	7713	9289	9132	9832	7380	11977	6533
gene-LOC105282849	NC_039512.1	10261663	10264950	-	3288	13158	9506	8260	6413	10431	8738	17051	10229
gene-LOC113562330	NC_039512.1	10265738	10266763	+	1026	61	63	41	36	43	50	57	50
gene-LOC105282848	NC_039512.1	10267434	10274046	+	6613	3823	2787	2273	1789	2486	2128	4762	2858
gene-LOC109611215	NC_039512.1	10270384	10270718	-	335	0	0	0	0	0	0	0	0
gene-LOC105282847	NC_039512.1	10275466	10280187	+	4722	1980	1712	1271	1342	1545	1264	2349	1548
gene-LOC105282846	NC_039512.1	10280257	10284019	-	3763	5267	5126	3919	3461	4452	4313	6518	5595
gene-LOC105282845	NC_039512.1	10286991	10290946	-	3956	1770	1432	922	995	1127	961	1963	1481
gene-LOC113562302	NC_039512.1	10293562	10296133	+	2572	482	397	299	264	325	292	469	387
gene-LOC113562338	NC_039512.1	10305959	10306087	-	129	1	1	1	2	1	1	4	4
gene-LOC105279887	NC_039512.1	10348284	10552416	-	204133	2801	2585	2258	2415	1998	1464	2418	1889
